INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,UNEMP_RATE,MN_EARN_WNE_P10
Michigan School of Professional Psychology,Farmington Hills,MI,42.491427,-83.359575,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central Michigan University,Mount Pleasant,MI,43.591137,-84.775275,1050,20297,18620,21828,NULL,3.410000086,44000
Mott Community College,Flint,MI,43.019941,-83.67243,NULL,7818,8659,11171,NULL,5.059999943,29800
Empire Beauty School-Michigan,Grand Rapids,MI,43.029398,-85.626152,NULL,298,173,NULL,16242,3.220000029,18800
Cleary University,Howell,MI,42.586573,-83.881516,990,438,337,18625,NULL,2.75,53400
Cranbrook Academy of Art,Bloomfield Hills,MI,42.568716,-83.25124,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College for Creative Studies,Detroit,MI,42.361839,-83.062352,1010,1376,1086,48413,NULL,3.25999999,43300
Davenport University,Grand Rapids,MI,42.849713,-85.529655,NULL,6348,2253,25082,NULL,4.389999866,33300
David Pressley School of Cosmetology,Royal Oak,MI,42.479729,-83.146008,NULL,181,122,NULL,17947,2.720000029,23100
Delta College,University Center,MI,43.559491,-83.985943,NULL,8383,9358,9045,NULL,4.380000114,32100
Detroit Business Institute-Downriver,Riverview,MI,42.169965,-83.189207,NULL,73,110,NULL,NULL,6.130000114,21500
Michigan State University-College of Law,East Lansing,MI,42.72565,-84.473401,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed
MIAT College of Technology,Canton,MI,42.28593,-83.445541,NULL,334,315,19798,NULL,3.440000057,43000
University of Detroit Mercy,Detroit,MI,42.417168,-83.138369,1110,2677,3830,49617,NULL,4.369999886,49700
Dorsey Business Schools-Madison Heights,Madison Heights,MI,42.526138,-83.106727,NULL,197,114,28857,NULL,4.570000172,24000
Dorsey Business Schools-Southgate,Southgate,MI,42.21323,-83.216005,NULL,143,155,28373,NULL,4.570000172,24000
Eastern Michigan University,Ypsilanti,MI,42.245751,-83.624499,1028,17723,18189,19532,NULL,3.359999895,40300
Ferris State University,Big Rapids,MI,43.687464,-85.483509,1010,12632,9235,21215,NULL,3.829999924,45500
Flint Institute of Barbering Inc,Flint,MI,43.026429,-83.738568,NULL,56,29,NULL,9995,5.920000076,PrivacySuppressed
Glen Oaks Community College,Centreville,MI,41.892504,-85.496929,NULL,680,1601,11069,NULL,3.059999943,29400
Kettering University,Flint,MI,43.013112,-83.714356,1223,1689,2632,51277,NULL,3.25999999,74900
Gogebic Community College,Ironwood,MI,46.471893,-90.165592,NULL,878,1106,12338,NULL,4.449999809,30500
Grace Bible College,Wyoming,MI,42.919541,-85.692077,NULL,675,140,20621,NULL,3.190000057,28800
Cornerstone University,Grand Rapids,MI,42.979044,-85.595602,1051,2020,1592,34889,NULL,3.75,38900
Everest Institute-Grand Rapids,Grand Rapids,MI,43.035183,-85.62648,NULL,305,279,NULL,32618,4.050000191,23700
Grand Rapids Community College,Grand Rapids,MI,42.966408,-85.666571,NULL,14813,13400,8657,NULL,3.349999905,32200
Grand Valley State University,Allendale,MI,42.965208,-85.887519,1089,21561,15211,21907,NULL,3.150000095,43000
Great Lakes Christian College,Lansing,MI,42.754249,-84.638714,NULL,160,213,25648,NULL,3.25,30200
Henry Ford College,Dearborn,MI,42.324577,-83.238409,NULL,12333,12742,8788,NULL,4.849999905,34500
Hope College,Holland,MI,42.788052,-86.105376,1185,3312,3015,39856,NULL,2.890000105,47200
ITT Technical Institute-Wyoming,Wyoming,MI,42.854784,-85.714524,NULL,312,404,28127,NULL,3.829999924,42800
Jackson College,Jackson,MI,42.16483,-84.403942,NULL,4992,5069,11855,NULL,3.380000114,31100
Wright Beauty Academy,Portage,MI,42.220356,-85.575426,NULL,56,78,NULL,7973,3.529999971,PrivacySuppressed
Kalamazoo College,Kalamazoo,MI,42.290382,-85.601317,1239,1431,1322,50800,NULL,2.940000057,55200
Kalamazoo Valley Community College,Kalamazoo,MI,42.225948,-85.682144,NULL,8295,9319,8551,NULL,4.070000172,33100
Kellogg Community College,Battle Creek,MI,42.335454,-85.177299,NULL,4764,5300,9815,NULL,3.50999999,32800
Kirtland Community College,Roscommon,MI,44.490753,-84.413388,NULL,1431,1307,11174,NULL,4.420000076,28700
Michigan College of Beauty-Monroe,Monroe,MI,41.90662,-83.406033,NULL,130,98,NULL,11636,2.809999943,20600
Lake Michigan College,Benton Harbor,MI,42.097276,-86.393445,NULL,2980,3411,11285,NULL,4.130000114,27300
Lake Superior State University,Sault Ste Marie,MI,46.491736,-84.3655,1028,2213,3068,19524,NULL,4.550000191,38600
Lansing Community College,Lansing,MI,42.739099,-84.552201,NULL,13470,16011,10490,NULL,3.369999886,34200
Lawrence Technological University,Southfield,MI,42.474072,-83.25003,1127,2798,2975,41064,NULL,3.289999962,57400
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,43.604862,-84.779388,NULL,88,59,NULL,8656,4.230000019,PrivacySuppressed
Macomb Community College,Warren,MI,42.507039,-82.97373,NULL,13109,22001,11191,NULL,3.5,34600
Madonna University,Livonia,MI,42.386463,-83.407306,1049,2841,3130,24763,NULL,3.380000114,41500
Marygrove College,Detroit,MI,42.414415,-83.154109,800,881,914,27622,NULL,6.260000229,30600
Rochester College,Rochester Hills,MI,42.667521,-83.144959,972,976,794,26820,NULL,3.670000076,38700
University of Michigan-Ann Arbor,Ann Arbor,MI,42.276061,-83.743121,1380,28217,24412,26143,NULL,3.079999924,71000
Michigan Barber School Inc,Detroit,MI,42.333711,-83.049558,NULL,92,145,NULL,15019,6.909999847,22100
Michigan State University,East Lansing,MI,42.73212,-84.476111,1158,38395,34342,24323,NULL,3.180000067,58700
Michigan Technological University,Houghton,MI,47.1183,-88.546403,1244,5576,5666,25360,NULL,3.450000048,63200
University of Michigan-Dearborn,Dearborn,MI,42.317287,-83.231417,1105,6906,6615,17766,NULL,3.49000001,51400
University of Michigan-Flint,Flint,MI,43.018777,-83.688474,993,6565,5786,19079,NULL,3.880000114,43300
Mid Michigan Community College,Harrison,MI,43.969586,-84.763715,NULL,2942,2316,10413,NULL,4.320000172,31300
Monroe County Community College,Monroe,MI,41.91617,-83.470274,NULL,2083,3555,7831,NULL,2.589999914,32600
Montcalm Community College,Sidney,MI,43.252147,-85.09967,NULL,1496,1545,19219,NULL,3.329999924,30000
Mr Bela's School of Cosmetology Inc,Warren,MI,42.506078,-83.050543,NULL,74,90,NULL,13851,4.079999924,15100
Baker College of Muskegon,Muskegon,MI,43.244133,-86.196717,NULL,3453,2727,18967,NULL,4.039999962,30600
Muskegon Community College,Muskegon,MI,43.250329,-86.196384,NULL,3974,4311,8686,NULL,3.5,30100
Everest College-Skokie,Skokie,IL,42.059882,-87.760707,NULL,279,257,NULL,32089,4.179999828,24200
Everest Institute-Southfield,Southfield,MI,42.447485,-83.260486,NULL,875,710,NULL,29132,5.199999809,23400
North Central Michigan College,Petoskey,MI,45.360524,-84.952698,NULL,2299,2196,6783,NULL,5.400000095,28600
Northern Michigan University,Marquette,MI,46.558037,-87.403857,1010,7718,7575,18865,NULL,3.769999981,38200
Paul Mitchell the School-Escanaba,Escanaba,MI,45.766848,-87.069482,NULL,43,NULL,NULL,19352,4.510000229,PrivacySuppressed
Northwestern Michigan College,Traverse City,MI,44.767608,-85.581808,NULL,3938,3965,13009,NULL,3.519999981,33000
Northwood University-Michigan,Midland,MI,43.628996,-84.276276,1004,2808,3657,34733,NULL,3.559999943,48300
Oakland Community College,Bloomfield Hills,MI,42.620538,-83.430388,NULL,13670,23188,8798,NULL,3.809999943,33700
Oakland University,Rochester Hills,MI,42.67449,-83.220523,1070,16528,12002,19385,NULL,3.210000038,46900
Olivet College,Olivet,MI,42.440908,-84.922864,917,945,977,33155,NULL,3.650000095,36900
Port Huron Cosmetology College,Waterford,MI,42.700677,-83.398624,NULL,72,72,NULL,13791,3.109999895,PrivacySuppressed
Kuyper College,Grand Rapids,MI,43.02195,-85.592657,1030,264,51,26557,NULL,2.789999962,30300
Ross Medical Education Center-Lansing,Lansing,MI,42.741855,-84.605807,NULL,161,46,NULL,22028,3.410000086,23100
Ross Medical Education Center-Madison Heights,Madison Heights,MI,42.508189,-83.107692,NULL,216,23,NULL,20749,4.409999847,23700
Ross Medical Education Center-Flint,Flint,MI,43.016571,-83.749923,NULL,303,51,NULL,22167,4.260000229,21100
Sacred Heart Major Seminary,Detroit,MI,42.375248,-83.111682,NULL,178,275,NULL,NULL,2.630000114,PrivacySuppressed
Saginaw Valley State University,University Center,MI,43.55187,-83.96434,1030,8453,7059,18378,NULL,3.890000105,40600
Schoolcraft College,Livonia,MI,42.419279,-83.430958,NULL,10471,9016,9075,NULL,3.180000067,34300
Siena Heights University,Adrian,MI,41.905952,-84.015144,1025,2254,1713,33484,NULL,3.430000067,42100
St Clair County Community College,Port Huron,MI,42.979494,-82.428717,NULL,3164,3972,10350,NULL,3.710000038,33400
Southwestern Michigan College,Dowagiac,MI,41.965179,-86.082941,NULL,2149,3047,13690,NULL,3.799999952,28700
Specs Howard School of Media Arts,Southfield,MI,42.459245,-83.239309,NULL,653,388,NULL,NULL,4.210000038,29700
Spring Arbor University,Spring Arbor,MI,42.206233,-84.551918,1035,2632,2125,33787,NULL,3.519999981,41700
Michigan Career and Technical Institute,Plainwell,MI,42.508058,-85.520711,NULL,220,535,22458,NULL,4.059999943,19300
Finlandia University,Hancock,MI,47.12709,-88.589392,910,464,383,29789,NULL,4.25,31800
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,42.731,-84.554429,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Twin City Beauty College,Saint Joseph,MI,42.072138,-86.477623,NULL,257,63,NULL,15096,3.630000114,17300
Walsh College of Accountancy and Business Administration,Troy,MI,42.573888,-83.147197,NULL,929,1170,NULL,NULL,2.930000067,58700
Washtenaw Community College,Ann Arbor,MI,42.263311,-83.664928,NULL,10094,11089,10463,NULL,3,31300
Wayne County Community College District,Detroit,MI,42.326515,-83.055527,NULL,12990,9008,10714,NULL,6.730000019,27800
Wayne State University,Detroit,MI,42.35861,-83.072864,1070,17242,18093,21021,NULL,4.650000095,47600
West Shore Community College,Scottville,MI,44.008857,-86.337502,NULL,1002,1273,7934,NULL,4.25,28200
Excel Academies of Cosmetology-Kentwood,Kentwood,MI,42.91074,-85.596821,NULL,47,NULL,NULL,NULL,NULL,NULL
Western Michigan University,Kalamazoo,MI,42.282589,-85.61512,1030,18450,22756,22013,NULL,3.220000029,47400
Western Theological Seminary,Holland,MI,42.786227,-86.101897,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Wright Beauty Academy,Battle Creek,MI,42.308156,-85.196585,NULL,43,40,NULL,13658,3.789999962,20700
Academy College,Bloomington,MN,44.85621,-93.299681,NULL,119,301,35081,NULL,3.079999924,42100
Alexandria Technical & Community College,Alexandria,MN,45.868592,-95.371579,NULL,1663,2192,17863,NULL,2.779999971,37000
American Indian OIC Inc,Minneapolis,MN,44.961993,-93.246166,NULL,99,14,NULL,13600,4.980000019,PrivacySuppressed
Anoka Technical College,Anoka,MN,45.216331,-93.415955,NULL,1829,2046,17063,NULL,2.609999895,39800
Anoka-Ramsey Community College,Coon Rapids,MN,45.172978,-93.351697,NULL,6185,2926,15819,NULL,2.700000048,39500
Augsburg College,Minneapolis,MN,44.965636,-93.241418,1074,2552,2913,44986,NULL,2.779999971,50100
Riverland Community College,Austin,MN,43.676778,-93.001055,NULL,2353,3182,13512,NULL,2.609999895,34400
Northwest Technical College,Bemidji,MN,47.452652,-94.853985,NULL,744,942,15531,NULL,5.050000191,PrivacySuppressed
Bemidji State University,Bemidji,MN,47.482505,-94.874529,1010,4386,3889,18549,NULL,3.730000019,41100
Bethany Lutheran College,Mankato,MN,44.166485,-93.990744,1070,503,440,33417,NULL,2.789999962,37600
Bethel University,Saint Paul,MN,45.057091,-93.159295,1146,2936,2652,43974,NULL,2.460000038,50500
Bethel Seminary-St Paul,Saint Paul,MN,45.058775,-93.159786,NULL,NULL,NULL,NULL,NULL,2.460000038,50500
Central Lakes College-Brainerd,Brainerd,MN,46.346006,-94.21524,NULL,2401,1572,14525,NULL,3.539999962,34800
Carleton College,Northfield,MN,44.462304,-93.154662,1408,2042,1936,60401,NULL,3.230000019,59300
Concordia College at Moorhead,Moorhead,MN,46.859423,-96.765567,1166,2296,2826,42829,NULL,2.920000076,47900
Concordia University-Saint Paul,Saint Paul,MN,44.9502,-93.154971,NULL,2167,1355,28984,NULL,2.849999905,55500
Dakota County Technical College,Rosemount,MN,44.738929,-93.079346,NULL,2389,3086,15575,NULL,2.519999981,38000
Martin Luther College,New Ulm,MN,44.3046,-94.473422,1125,744,1026,21524,NULL,2.960000038,38000
Lake Superior College,Duluth,MN,46.784671,-92.145255,NULL,3736,3972,16818,NULL,4.050000191,36700
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,46.785732,-92.099721,NULL,20,21,NULL,15989,4.199999809,PrivacySuppressed
Duluth Business University,Duluth,MN,46.742888,-92.157379,NULL,179,267,33065,NULL,4.300000191,25900
Minnesota State Community and Technical College,Fergus Falls,MN,46.288102,-96.096961,NULL,4693,2082,14847,NULL,3.220000029,36100
Globe University-Woodbury,Woodbury,MN,44.946656,-92.941145,NULL,691,642,26015,NULL,2.75999999,31500
Minnesota West Community and Technical College,Granite Falls,MN,44.80755,-95.561709,NULL,1977,3296,14565,NULL,2.769999981,35400
Gustavus Adolphus College,Saint Peter,MN,44.324968,-93.971928,NULL,2455,2388,50008,NULL,2.650000095,57700
Hamline University,Saint Paul,MN,44.965696,-93.163983,1101,2157,1851,44883,NULL,2.779999971,52100
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,45.377896,-92.796687,NULL,1,NULL,NULL,NULL,NULL,NULL
Hennepin Technical College,Brooklyn Park,MN,45.096534,-93.397755,NULL,5452,5843,17735,NULL,2.599999905,34800
Cosmetology Careers Unlimited College of Hair Skin and Nails,Hibbing,MN,47.41989,-92.923517,NULL,20,22,NULL,16041,3.339999914,PrivacySuppressed
Hibbing Community College,Hibbing,MN,47.422275,-92.921052,NULL,1110,3143,13984,NULL,3.74000001,39200
Aveda Institute-Minneapolis,Minneapolis,MN,44.987863,-93.253702,NULL,515,369,NULL,18936,2.74000001,31200
Inver Hills Community College,Inver Grove Heights,MN,44.828384,-93.054585,NULL,4589,4304,15199,NULL,2.569999933,41500
Itasca Community College,Grand Rapids,MN,47.242469,-93.494483,NULL,1008,1033,14856,NULL,3.910000086,35200
The Art Institutes International-Minnesota,Minneapolis,MN,44.976003,-93.276322,NULL,932,760,31739,NULL,2.910000086,38500
Luther Seminary,Saint Paul,MN,44.984815,-93.196754,NULL,NULL,NULL,NULL,NULL,2.849999905,PrivacySuppressed
Macalester College,Saint Paul,MN,44.936709,-93.169855,1354,2053,1794,57478,NULL,3.069999933,54200
South Central College,North Mankato,MN,44.174326,-94.04741,NULL,2847,1613,15316,NULL,2.930000067,36100
Minnesota State University-Mankato,Mankato,MN,44.147253,-93.998494,1010,12332,11165,17355,NULL,2.680000067,45700
Regency Beauty Institute-Blaine,Blaine,MN,45.132464,-93.266236,NULL,132,107,NULL,21941,2.670000076,24400
Mayo Medical School,Rochester,MN,44.020808,-92.466417,NULL,NULL,NULL,NULL,NULL,2.74000001,59200
Mayo School of Health Sciences,Rochester,MN,44.022784,-92.466645,NULL,199,47,NULL,NULL,2.74000001,59200
Argosy University-Twin Cities,Eagan,MN,44.837284,-93.173871,NULL,1072,505,23567,NULL,3.25,41300
Mesabi Range College,Virginia,MN,47.524554,-92.549088,NULL,878,NULL,11544,NULL,3.700000048,31800
Metropolitan State University,Saint Paul,MN,44.957017,-93.074153,NULL,7280,5327,19052,NULL,2.99000001,47800
University of Minnesota-Twin Cities,Minneapolis,MN,44.977886,-93.235352,1271,30135,31824,24551,NULL,2.779999971,55100
University of Minnesota-Crookston,Crookston,MN,47.802021,-96.609863,1006,1876,2775,22394,NULL,3.369999886,44100
Minneapolis Business College,Roseville,MN,45.005272,-93.173351,NULL,231,322,20823,NULL,2.960000038,35800
Minneapolis College of Art and Design,Minneapolis,MN,44.956988,-93.274694,1088,658,580,42990,NULL,2.900000095,39600
Minneapolis Community and Technical College,Minneapolis,MN,44.972672,-93.284489,NULL,8220,6363,18383,NULL,3.619999886,36900
Herzing University-Minneapolis,Minneapolis,MN,45.056273,-93.366498,NULL,263,133,22736,NULL,2.960000038,45100
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,44.92512,-92.973902,NULL,122,28,NULL,17756,2.900000095,PrivacySuppressed
Crossroads College,Rochester,MN,43.997064,-92.476297,NULL,96,116,26410,NULL,2.829999924,34900
University of Minnesota-Duluth,Duluth,MN,46.818896,-92.085177,1110,9120,8400,23153,NULL,3.00999999,52000
University of Minnesota-Morris,Morris,MN,45.589829,-95.901756,1148,1803,1842,23135,NULL,3.019999981,42500
Minnesota School of Business-Richfield,Richfield,MN,44.865436,-93.297366,NULL,673,701,26592,NULL,2.720000029,35200
Model College of Hair Design,Saint Cloud,MN,45.558469,-94.159214,NULL,92,90,NULL,15571,2.950000048,21500
Minnesota State University Moorhead,Moorhead,MN,46.866482,-96.763376,1049,5496,7044,18680,NULL,3.059999943,41000
North Hennepin Community College,Brooklyn Park,MN,45.107408,-93.373662,NULL,6327,5261,19626,NULL,2.74000001,39200
National American University-Roseville,Roseville,MN,45.009683,-93.170514,NULL,264,586,NULL,NULL,3.160000086,41200
Sanford-Brown College-Mendota Heights,Mendota Heights,MN,44.86523,-93.163291,NULL,150,2179,22673,NULL,3.039999962,34900
Normandale Community College,Bloomington,MN,44.829706,-93.331677,NULL,7793,7347,17682,NULL,2.470000029,40100
North Central University,Minneapolis,MN,44.969389,-93.261429,1062,928,1168,30203,NULL,2.970000029,34100
Northland Community and Technical College,Thief River Falls,MN,48.124955,-96.162362,NULL,2603,1991,15184,NULL,3.559999943,39400
University of Northwestern-St Paul,Saint Paul,MN,45.032969,-93.171579,1110,1945,2081,39702,NULL,2.720000029,39900
Northwestern Health Sciences University,Bloomington,MN,44.85097,-93.311218,NULL,119,9,24990,NULL,2.630000114,50300
Oak Hills Christian College,Bemidji,MN,47.425836,-94.901701,964,124,150,26034,NULL,3.690000057,29500
Regency Beauty Institute-Burnsville,Burnsville,MN,44.744157,-93.28904,NULL,118,59,NULL,22083,2.670000076,24400
Pine Technical & Community College,Pine City,MN,45.808775,-92.968456,NULL,706,996,16446,NULL,3.5,29100
Rainy River Community College,International Falls,MN,48.594255,-93.426666,NULL,202,617,13623,NULL,4.579999924,29500
Rochester Community and Technical College,Rochester,MN,44.016177,-92.423528,NULL,5037,4778,18943,NULL,2.630000114,37200
College of Saint Benedict,Saint Joseph,MN,45.558609,-94.31902,1179,2020,2024,49920,NULL,2.579999924,50100
St Cloud Technical and Community College,Saint Cloud,MN,45.580341,-94.176938,NULL,4358,2949,12678,NULL,2.75999999,39100
Regency Beauty Institute-St Cloud,Waite Park,MN,45.548631,-94.216276,NULL,78,125,NULL,24104,2.670000076,24400
Saint Cloud State University,Saint Cloud,MN,45.552418,-94.153,1010,10878,13949,18142,NULL,2.720000029,44900
Saint Johns University,Collegeville,MN,45.580538,-94.39268,1155,1789,1880,48520,NULL,2.549999952,62100
Saint Mary's University of Minnesota,Winona,MN,44.045322,-91.696652,1067,1859,1693,39736,NULL,2.890000105,47300
St Olaf College,Northfield,MN,44.462884,-93.183633,1292,2990,3014,51860,NULL,2.809999943,50800
Crown College,Saint Bonifacius,MN,44.885372,-93.743015,1016,1032,882,34943,NULL,2.769999981,35000
The College of Saint Scholastica,Duluth,MN,46.81544,-92.105738,1106,2788,1499,42355,NULL,3.450000048,53000
University of St Thomas,Saint Paul,MN,44.941662,-93.189422,949,6080,5469,47616,NULL,2.49000001,62200
Empire Beauty School-Bloomington,Bloomington,MN,44.82746,-93.287367,NULL,104,88,NULL,17162,2.450000048,27100
St Catherine University,Saint Paul,MN,44.924542,-93.181925,1032,3399,3555,43101,NULL,2.849999905,48600
Rasmussen College-Minnesota,St. Cloud,MN,45.556553,-94.209068,NULL,4484,85,23189,NULL,2.779999971,33100
Saint Paul College,Saint Paul,MN,44.9492,-93.109664,NULL,5825,5247,18228,NULL,3.579999924,34100
Southwest Minnesota State University,Marshall,MN,44.455023,-95.75983,990,2359,4148,19028,NULL,2.890000105,38800
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,44.983265,-93.295151,NULL,258,30,NULL,12560,4.489999771,17500
United Theological Seminary of the Twin Cities,New Brighton,MN,45.057139,-93.224977,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vermilion Community College,Ely,MN,47.905213,-91.837938,NULL,478,885,15108,NULL,3.470000029,36200
Dunwoody College of Technology,Minneapolis,MN,44.973081,-93.290069,NULL,1069,1059,31433,NULL,2.839999914,48300
Ridgewater College,Willmar,MN,45.13832,-95.073054,NULL,3199,1886,13564,NULL,2.670000076,35300
Minnesota State College-Southeast Technical,Winona,MN,44.024554,-91.618314,NULL,1660,619,18818,NULL,2.900000095,33400
Winona State University,Winona,MN,44.04585,-91.644838,1050,7944,6772,20574,NULL,2.680000067,45600
William Mitchell College of Law,Saint Paul,MN,44.942092,-93.137709,NULL,NULL,NULL,NULL,NULL,2.910000086,81200
Century College,White Bear Lake,MN,45.041816,-92.982109,NULL,8755,6937,12774,NULL,2.74000001,37700
Alcorn State University,Alcorn State,MS,31.877216,-91.142854,872,3006,2398,21116,NULL,5.46999979,34100
Belhaven University,Jackson,MS,32.318415,-90.169228,NULL,2546,1429,31730,NULL,3.779999971,40800
Blue Mountain College,Blue Mountain,MS,34.67209,-89.02924,1030,498,371,17198,NULL,3.289999962,29900
Chris Beauty College,Gulfport,MS,30.383561,-89.077063,NULL,70,139,NULL,16922,3.789999962,20300
Coahoma Community College,Clarksdale,MS,34.255626,-90.570304,NULL,1875,277,7996,NULL,6.150000095,23200
Antonelli College-Jackson,Jackson,MS,32.328918,-90.12297,NULL,374,215,25643,NULL,4.239999771,23800
Copiah-Lincoln Community College,Wesson,MS,31.69006,-90.399133,NULL,2657,1885,8297,NULL,4.78000021,31700
Creations College of Cosmetology,Tupelo,MS,34.256135,-88.742114,NULL,27,57,NULL,19480,3.539999962,19900
Delta Beauty College,Greenville,MS,33.37377,-91.04523,NULL,48,121,NULL,10641,7.389999866,16700
Delta State University,Cleveland,MS,33.747586,-90.73544,968,2778,3356,18887,NULL,5.909999847,38600
East Central Community College,Decatur,MS,32.444493,-89.108475,NULL,2255,2291,10273,NULL,3.920000076,31800
East Mississippi Community College,Scooba,MS,32.830246,-88.483516,NULL,4127,2534,10176,NULL,4.900000095,30000
Fosters Cosmetology College,Ripley,MS,34.759421,-88.939805,NULL,34,32,NULL,17040,3.430000067,PrivacySuppressed
Academy of Hair Design-Grenada,Grenada,MS,33.775555,-89.823781,NULL,55,40,NULL,11057,4.949999809,18400
Hinds Community College,Raymond,MS,32.258205,-90.412527,NULL,10447,16032,8167,NULL,4.619999886,29300
Holmes Community College,Goodman,MS,32.969985,-89.915803,NULL,5353,3022,9975,NULL,4.670000076,30900
Itawamba Community College,Fulton,MS,34.276275,-88.412927,NULL,5037,3467,10894,NULL,3.660000086,30000
Jackson State University,Jackson,MS,32.296781,-90.20663,911,7160,5471,19803,NULL,5.329999924,32700
Jones County Junior College,Ellisville,MS,31.597162,-89.199694,NULL,4455,4514,10178,NULL,3.980000019,31100
Meridian Community College,Meridian,MS,32.368097,-88.733604,NULL,3255,3096,11272,NULL,4.409999847,29800
Millsaps College,Jackson,MS,32.3231,-90.178084,1178,762,1193,46491,NULL,3.789999962,51900
Mississippi Delta Community College,Moorhead,MS,33.444906,-90.502053,NULL,2352,2673,7999,NULL,7.119999886,27100
University of Mississippi,University,MS,34.362144,-89.539377,1098,17809,9608,22444,NULL,3.640000105,53600
Mississippi University for Women,Columbus,MS,33.493305,-88.418601,988,2316,2660,16299,NULL,4.400000095,38800
Mississippi Valley State University,Itta Bena,MS,33.514142,-90.341274,825,1813,2358,19331,NULL,6.880000114,25400
Mississippi College,Clinton,MS,32.334565,-90.330452,1120,2942,2440,27468,NULL,3.890000105,42500
Mississippi College of Beauty Culture,Laurel,MS,31.693843,-89.134632,NULL,61,40,NULL,12088,3.779999971,PrivacySuppressed
Mississippi Gulf Coast Community College,Perkinston,MS,30.779349,-89.144339,NULL,9129,8768,12535,NULL,4,31500
Mississippi State University,Mississippi State,MS,33.454809,-88.788979,1126,15800,13307,21581,NULL,4.300000191,47400
Northeast Mississippi Community College,Booneville,MS,34.667833,-88.562983,NULL,3257,2796,11358,NULL,3.220000029,31700
Northwest Mississippi Community College,Senatobia,MS,34.622721,-89.971428,NULL,6863,4776,10720,NULL,3.99000001,29500
Pearl River Community College,Poplarville,MS,30.846809,-89.546,NULL,4529,1403,6171,NULL,4.289999962,32100
Rust College,Holly Springs,MS,34.776862,-89.446999,760,963,853,15284,NULL,6.039999962,25400
Southeastern Baptist College,Laurel,MS,31.748512,-89.149373,NULL,39,11,8083,NULL,3.799999952,26300
Southwest Mississippi Community College,Summit,MS,31.29622,-90.442844,NULL,1843,1651,10023,NULL,4.75,31100
University of Southern Mississippi,Hattiesburg,MS,31.327499,-89.33791,1029,11939,12143,19493,NULL,3.99000001,40700
Magnolia College of Cosmetology,Jackson,MS,32.359614,-90.151826,NULL,157,78,NULL,16200,4.710000038,22000
Tougaloo College,Tougaloo,MS,32.402719,-90.159405,864,895,1000,20503,NULL,5.420000076,30300
Wesley Biblical Seminary,Jackson,MS,32.355011,-90.159447,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
William Carey University,Hattiesburg,MS,31.305264,-89.291815,1080,2039,1715,24941,NULL,4.010000229,40800
Aquinas Institute of Theology,Saint Louis,MO,38.635008,-90.237365,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Assemblies of God Theological Seminary,Springfield,MO,37.224401,-93.26151,NULL,NULL,NULL,NULL,NULL,3.400000095,PrivacySuppressed
Avila University,Kansas City,MO,38.912159,-94.591387,1038,1321,1123,36178,NULL,2.849999905,42800
ITT Technical Institute-Earth City,Earth City,MO,38.757955,-90.461159,NULL,517,533,27486,NULL,4.03000021,42800
Baptist Bible College,Springfield,MO,37.239731,-93.285385,NULL,317,799,17281,NULL,3.269999981,33800
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,38.999893,-94.273804,NULL,102,49,NULL,16445,2.640000105,15300
Cox College,Springfield,MO,37.225116,-93.290233,NULL,744,294,18972,NULL,3.160000086,39900
Calvary Bible College and Theological Seminary,Kansas City,MO,38.838169,-94.546238,1014,225,224,17891,NULL,3.400000095,33100
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,37.274138,-89.56525,NULL,320,169,NULL,18745,3.529999971,30600
Central Christian College of the Bible,Moberly,MO,39.395963,-92.427259,NULL,289,133,24213,NULL,3.200000048,31400
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,39.150534,-92.685276,1050,1175,1172,32970,NULL,3.339999914,36000
University of Central Missouri,Warrensburg,MO,38.755882,-93.737445,1010,9017,9150,18112,NULL,3.019999981,41100
Grand River Technical School,Chillicothe,MO,39.798864,-93.559669,NULL,90,77,NULL,10230,2.339999914,37900
Chillicothe Beauty Academy Inc,Chillicothe,MO,39.792786,-93.551131,NULL,15,21,NULL,12462,2.319999933,PrivacySuppressed
Cleveland University-Kansas City,Overland Park,KS,38.932019,-94.679076,1050,47,76,NULL,NULL,2.930000067,43700
Columbia Area Career Center,Columbia,MO,38.903705,-92.33669,NULL,55,111,NULL,19604,3.25,32400
