INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
Thiel College,Greenville,PA,16125-2181,1,3,3,2,42,2,41.41308,-80.382134,21,10,11,0.6949,480,480,450,21,20,21,NULL,970,1025,994,NULL,21352,NULL,NULL,40841,NULL,27828,27828,NULL,13022,0.8537,19.8017094,3.420000076,64,610,39700,37000,42,571,29700,27500,151,207,213,126,533,37,561,32800,20300,43,552,35900,32800,48,568,37500,22700,1
Thomas Jefferson University,Philadelphia,PA,19107,1,3,4,2,42,2,39.949062,-75.158147,25,11,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,769,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33544,NULL,26.92131148,3.640000105,33,600,119900,86300,50,691,68300,64400,284,193,214,42,265,24,661,86900,61200,51,691,83000,73300,20,414,85100,54300,1
Fortis Institute-Erie,Erie,PA,16506-1013,3,2,2,3,42,2,42.0604,-80.204328,7,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,652,318,NULL,19701,NULL,NULL,26074,NULL,13010,13010,NULL,10486,NULL,27.07364017,3.839999914,239,770,28500,24300,261,1386,24100,21900,855,378,153,129,400,223,827,23400,18700,248,929,25200,21900,166,630,28000,21700,2
Triangle Tech Inc-Erie,Erie,PA,16502-2594,1,2,2,3,42,2,42.111919,-80.094975,11,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,131,NULL,17692,NULL,NULL,25488,NULL,16449,16449,NULL,11809,1,23.6,3.809999943,41,212,36600,33800,35,179,31200,29000,99,52,28,38,84,38,170,37200,25100,32,181,38100,33600,36,165,32600,23000,2
Triangle Tech Inc-Pittsburgh,Pittsburgh,PA,15214-3897,1,2,2,3,42,2,40.461988,-80.012666,9,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226,234,NULL,20333,NULL,NULL,26394,NULL,16590,16590,NULL,14181,0.7203,25.65830721,3.569999933,75,405,37100,35500,61,299,32500,30200,150,94,55,51,156,80,373,33500,22300,78,359,39200,35900,60,327,36100,24400,2
Triangle Tech Inc-Greensburg,Greensburg,PA,15601-3304,2,2,2,3,42,2,40.303124,-79.540082,11,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,186,158,NULL,14693,NULL,NULL,22800,NULL,16500,16500,NULL,15114,0.7573,25.6175,3.539999962,43,273,43300,42900,52,359,39300,37000,126,138,95,40,216,29,289,39500,26700,39,286,42100,38800,35,223,36900,24400,2
Triangle Tech Inc-Dubois,Falls Creek,PA,15840-3333,2,2,2,3,42,2,41.146473,-78.794311,8,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147,301,NULL,19085,NULL,NULL,26165,NULL,16583,16583,NULL,14245,0.8571,24.04558405,3.579999924,57,379,37500,34700,31,379,35100,33700,165,144,70,95,259,54,383,34600,22300,64,413,36400,35400,29,263,38100,23300,2
Trinity Episcopal School for Ministry,Ambridge,PA,15003-2397,1,4,4,2,42,2,40.593686,-80.229331,24,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2976,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Ursinus College,Collegeville,PA,19426-1000,1,3,3,2,42,2,40.19405,-75.455654,21,14,11,0.8316,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1656,1271,NULL,28149,NULL,NULL,58610,NULL,46080,46080,NULL,20530,0.9467,19.40441177,2.900000095,34,533,55500,52100,PrivacySuppressed,398,38600,35600,50,96,252,49,383,29,454,45200,26900,43,441,51300,47400,25,467,54100,41800,1
University of Valley Forge,Phoenixville,PA,19460-2373,1,3,4,2,42,2,40.118341,-75.54864,22,11,8,0.9304,465,455,NULL,22,20,21,NULL,941,711,618,NULL,21842,NULL,NULL,30612,NULL,20394,20394,NULL,13406,0.6807,21.65065502,3.420000076,60,352,33500,28800,32,365,27000,24300,102,122,141,75,323,56,355,28300,17400,67,374,29400,28300,49,316,30900,22500,1
Valley Forge Military College,Wayne,PA,19087-3695,1,2,2,2,42,2,40.053697,-75.382097,-2,-2,-2,0.9673,394,402,370,17,14,16,NULL,800,322,214,NULL,33564,NULL,NULL,43564,NULL,25466,25466,NULL,28816,0.9189,19.97484277,3.099999905,PrivacySuppressed,98,48700,40500,PrivacySuppressed,88,29100,25200,27,PrivacySuppressed,37,16,86,11,105,45700,96500,PrivacySuppressed,99,44400,36700,10,86,47900,28500,2
